,Film,Year,Award,Nomination
741,Lovers and Other Strangers,1970,1,3
742,Woodstock,1970,1,3
743,Cromwell,1970,1,2
744,Investigation of a Citizen Above Suspicion,1970,1,2
745,Interviews with My Lai Veterans,1970,1,1
746,Is It Always Right to Be Right?,1970,1,1
747,Let It Be,1970,1,1
748,The Resurrection of Broncho Billy,1970,1,1
749,Midnight Cowboy,1969,3,7
750,Butch Cassidy and the Sundance Kid,1969,4,7
751,"Hello, Dolly!",1969,3,7
752,Z,1969,2,5
753,Anne of the Thousand Days,1969,1,10
754,"They Shoot Horses, Don't They?",1969,1,9
755,Marooned,1969,1,3
756,The Magic Machines,1969,1,2
757,The Prime of Miss Jean Brodie,1969,1,2
758,True Grit,1969,1,2
759,Arthur Rubinstein – The Love of Life,1969,1,1
760,Cactus Flower,1969,1,1
761,Czechoslovakia 1968,1969,1,1
762,It's Tough to Be a Bird,1969,1,1
763,Oliver!,1968,5,11
764,The Lion in Winter,1968,3,7
765,Romeo and Juliet,1968,2,4
766,Funny Girl,1968,1,8
767,2001: A Space Odyssey,1968,1,4
768,Bullitt,1968,1,2
769,The Producers,1967,1,2
770,Rosemary's Baby,1968,1,2
771,The Subject Was Roses,1968,1,2
772,The Thomas Crown Affair,1968,1,2
773,War and Peace,1968,1,2
774,Charly,1968,1,1
775,Journey into Self,1968,1,1
776,Robert Kennedy Remembered,1968,1,1
777,Why Man Creates,1968,1,1
778,Winnie the Pooh and the Blustery Day,1968,1,1
779,Planet of the Apes,1968,0,2
780,In the Heat of the Night,1967,5,7
781,Camelot,1967,3,5
782,Bonnie and Clyde,1967,2,10
783,Guess Who's Coming to Dinner,1967,2,10
784,Doctor Dolittle,1967,2,9
785,The Graduate,1967,1,7
786,Thoroughly Modern Millie,1967,1,7
787,Cool Hand Luke,1967,1,4
788,The Dirty Dozen,1967,1,4
789,A Place to Stand,1967,1,2
790,The Anderson Platoon,1967,1,1
